,name,phoneme,cons,son,syl,labial,round,coronal,ant,dist,dorsal,high,low,back,tense,pharyngeal,ATR,voice,SG,CG,cont,strident,lateral,del_rel,nasal
78,palatal lateral approximant,ʎ,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.0,0,1,0,0
79,near-high near-front rounded vowel,ʏ,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1.0,0,0,0,0
80,voiced alveolo-palatal sibilant,ʑ,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1.0,0,0,0,0
81,voiced palato-alveolar sibilant,ʒ,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0
82,glottal stop,ʔ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0
83,voiced pharyngeal fricative,ʕ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,0,0,0,0
84,voiced palatal fricative,ʝ,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1.0,0,0,0,0
85,voiced bilabial fricative,β,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0
86,voiceless dental fricative,θ,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
87,voiceless uvular fricative,χ,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0,0,0,0
88,high-mid front unrounded nasal vowel,ẽ,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1.0,0,0,0,1
